Country Name,Country Code,Indicator Name,Indicator Code,1970,1980,1990,2000,2010,2016,2017
Aruba,ABW,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,3.292313477,3.758735661,
Aruba,ABW,High-technology exports (current US$),TX.VAL.TECH.CD,,,,8920213,560538,1158612,
Aruba,ABW,Technicians in R&D (per million people),SP.POP.TECH.RD.P6,,,,,,,
Aruba,ABW,Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,,,,,,,
Aruba,ABW,"Trademark applications, total",IP.TMK.TOTL,,,,,,,
Aruba,ABW,"Trademark applications, direct resident",IP.TMK.RESD,,,,,,,
Aruba,ABW,"Trademark applications, direct nonresident",IP.TMK.NRES,,,,,,,
Aruba,ABW,"Patent applications, residents",IP.PAT.RESD,,,,,,,
Aruba,ABW,"Patent applications, nonresidents",IP.PAT.NRES,,,,,,,
Aruba,ABW,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,
Aruba,ABW,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,
Aruba,ABW,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,,,,,,27865.92179,
Aruba,ABW,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,,,,458100.5587,14748603.35,16327503.35,
Afghanistan,AFG,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,
Afghanistan,AFG,High-technology exports (current US$),TX.VAL.TECH.CD,,,,,,,
Afghanistan,AFG,Technicians in R&D (per million people),SP.POP.TECH.RD.P6,,,,,,,
Afghanistan,AFG,Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,,,,,,,
Afghanistan,AFG,"Trademark applications, total",IP.TMK.TOTL,,,,,,,
Afghanistan,AFG,"Trademark applications, direct resident",IP.TMK.RESD,,,,,,,
Afghanistan,AFG,"Trademark applications, direct nonresident",IP.TMK.NRES,,,,,,,
Afghanistan,AFG,"Patent applications, residents",IP.PAT.RESD,,,,,,,
Afghanistan,AFG,"Patent applications, nonresidents",IP.PAT.NRES,,,,,,,
Afghanistan,AFG,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,33.9,80.4,
Afghanistan,AFG,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,
Afghanistan,AFG,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,,,,,626710.87,,
Afghanistan,AFG,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,,,,,27577849.86,36802.95,180660.3999
Angola,AGO,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,
Angola,AGO,High-technology exports (current US$),TX.VAL.TECH.CD,,,,,,,
Angola,AGO,Technicians in R&D (per million people),SP.POP.TECH.RD.P6,,,,,,,
